OBJECTID,Network,Bikeway,Street,From_,To_,Shape_Leng,Install_Date,Region,Bikeway_Type,Datasource_DT
466, ,Buffer Bike Lane,MONTEREY RD,KENDALL AV,TERRILL AV,210.889345,2017/05/17 00:00:00+00,Central,Buffer Bike Lane,2020/04/08 00:00:00+00
490,Backbone,Buffer Bike Lane,SILVER LAKE BL,GLENDALE BL,EDGEWATER TE,291.7818659,2019/12/31 00:00:00+00,Central/South,Buffer Bike Lane,2020/04/08 00:00:00+00
610, ,Buffer Bike Lane,VAN NUYS BL,HERRICK AV,NORRIS AV,499.4590036,2020/01/30 00:00:00+00,Valley,Buffer Bike Lane,2020/04/08 00:00:00+00
611, ,Buffer Bike Lane,VAN NUYS BL,PALA AV,RALSTON AV,409.9247305,2020/01/30 00:00:00+00,Valley,Buffer Bike Lane,2020/04/08 00:00:00+00
612, ,Buffer Bike Lane,VAN NUYS BL,DE GARMO AV,DE FOE AV,330.1648884,2020/01/30 00:00:00+00,Valley,Buffer Bike Lane,2020/04/08 00:00:00+00
613, ,Buffer Bike Lane,VAN NUYS BL,NORRIS AV,LEHIGH AV,410.6720278,2020/01/30 00:00:00+00,Valley,Buffer Bike Lane,2020/04/08 00:00:00+00
874, ,Buffer Bike Lane,AVALON BL,HARRY BRIDGES BL,A ST,539.3613987,2015/02/21 00:00:00+00,South,Buffer Bike Lane,2020/04/08 00:00:00+00
875, ,Buffer Bike Lane,AVALON BL,BROAD AV,WATER ST,1062.883863,2015/02/21 00:00:00+00,South,Buffer Bike Lane,2020/04/08 00:00:00+00
982,Backbone,Buffer Bike Lane,SPRING ST,NEW HIGH ST,ARCADIA ST,711.1844251,2011/11/20 00:00:00+00,Central/South,Buffer Bike Lane,2020/04/08 00:00:00+00
983,Backbone,Buffer Bike Lane,SPRING ST,TEMPLE ST,1ST ST,902.1857998,2011/11/20 00:00:00+00,Central/South,Buffer Bike Lane,2020/04/08 00:00:00+00
1013, ,Buffer Bike Lane,MONTEREY RD,WHEELING WY,COLEMAN AV,352.3350275,2017/05/17 00:00:00+00,Central,Buffer Bike Lane,2020/04/08 00:00:00+00
1014, ,Buffer Bike Lane,MONTEREY RD,TERRILL AV,TERRILL AV,129.119388,2017/05/17 00:00:00+00,Central,Buffer Bike Lane,2020/04/08 00:00:00+00
1288, ,Buffer Bike Lane,VAN NUYS BL,BRADLEY AV,PALA AV,409.4629822,2020/01/30 00:00:00+00,Valley,Buffer Bike Lane,2020/04/08 00:00:00+00
1315, ,Buffer Bike Lane,WOODMAN AV,CHASE ST,BRANFORD ST,687.77323,2020/01/31 00:00:00+00,Valley,Buffer Bike Lane,2020/04/08 00:00:00+00
1316, ,Buffer Bike Lane,WOODMAN AV,BRANFORD ST,VENTURA CANYON AV,169.5003071,2020/01/31 00:00:00+00,Valley,Buffer Bike Lane,2020/04/08 00:00:00+00
1608, ,Buffer Bike Lane,CLYBOURN AV,WHITNALL HY W RDWY,BURBANK BL,178.8899174,2015/02/27 00:00:00+00,East Valley,Buffer Bike Lane,2020/04/08 00:00:00+00
1659,Backbone,Buffer Bike Lane,SPRING ST,ALISO ST,TEMPLE ST,551.2765604,2011/11/20 00:00:00+00,Central/South,Buffer Bike Lane,2020/04/08 00:00:00+00
1948, ,Buffer Bike Lane,WOODMAN AV,VENTURA CANYON AV,COMMUNITY ST,1188.374521,2020/01/31 00:00:00+00,Valley,Buffer Bike Lane,2020/04/08 00:00:00+00
1976,Backbone,Buffer Bike Lane,SPRING ST,CESAR E. CHAVEZ AV,NEW HIGH ST,98.17861824,2011/11/20 00:00:00+00,Central/South,Buffer Bike Lane,2020/04/08 00:00:00+00
2144, ,Buffer Bike Lane,VAN NUYS BL,DE HAVEN AV,DE GARMO AV,315.147033,2020/01/30 00:00:00+00,Valley,Buffer Bike Lane,2020/04/08 00:00:00+00
2246, ,Buffer Bike Lane,CLYBOURN AV,JEFFRIES AV,EDISON BL,438.9474509,2015/02/27 00:00:00+00,East Valley,Buffer Bike Lane,2020/04/08 00:00:00+00
2681, ,Buffer Bike Lane,MONTEREY RD,VIA MARISOL,WHEELING WY,299.0952808,2017/05/17 00:00:00+00,Central,Buffer Bike Lane,2020/04/08 00:00:00+00
2833,Neighborhood,Buffer Bike Lane,RESEDA BL,BRASILIA DR,ASUNCION ST,1412.301715,2019/12/27 00:00:00+00,Valley,Buffer Bike Lane,2020/04/08 00:00:00+00
2834,Neighborhood,Buffer Bike Lane,RESEDA BL,ASUNCION ST,RINALDI ST,798.6460831,2019/12/27 00:00:00+00,Valley,Buffer Bike Lane,2020/04/08 00:00:00+00
2923, ,Buffer Bike Lane,VAN NUYS BL,DE FOE AV,HERRICK AV,330.7691169,2020/01/30 00:00:00+00,Valley,Buffer Bike Lane,2020/04/08 00:00:00+00
2924, ,Buffer Bike Lane,VAN NUYS BL,GLENOAKS BL,DE HAVEN AV,345.1229011,2020/01/30 00:00:00+00,Valley,Buffer Bike Lane,2020/04/08 00:00:00+00
2985, ,Buffer Bike Lane,WOODMAN AV,NORDHOFF ST,OSBORNE ST,1034.191841,2020/01/31 00:00:00+00,Valley,Buffer Bike Lane,2020/04/08 00:00:00+00
3087, ,Buffer Bike Lane,COMPTON AV,CENTURY BL,102ND ST,530.064237,2013/07/01 00:00:00+00,South,Buffer Bike Lane,2020/04/08 00:00:00+00
3242, ,Buffer Bike Lane,MONTEREY RD,COLEMAN AV,REDFIELD AV,351.8588536,2017/05/17 00:00:00+00,Central,Buffer Bike Lane,2020/04/08 00:00:00+00
3246, ,Buffer Bike Lane,FOOTHILL BL,HILLROSE ST/FRANLIE DR,HILLROSE ST,104.9890944,2017/05/17 00:00:00+00, ,Buffer Bike Lane,2020/04/08 00:00:00+00
3247, ,Buffer Bike Lane,FOOTHILL BL,FENWICK ST,HILLROSE ST/FRANLIE DR,71.25157779,2017/05/17 00:00:00+00, ,Buffer Bike Lane,2020/04/08 00:00:00+00
3257,Backbone,Buffer Bike Lane,SILVER LAKE BL,EDGEWATER TE,ARMSTRONG AV,277.3777897,2019/12/31 00:00:00+00,Central/South,Buffer Bike Lane,2020/04/08 00:00:00+00
3313, ,Buffer Bike Lane,CLYBOURN AV,ERWIN ST,JEFFRIES AV,674.2646328,2015/02/27 00:00:00+00,East Valley,Buffer Bike Lane,2020/04/08 00:00:00+00
3457, ,Buffer Bike Lane,AVALON BL,A ST,BROAD AV,155.3375314,2015/02/21 00:00:00+00,South,Buffer Bike Lane,2020/04/08 00:00:00+00
3459, ,Buffer Bike Lane,CLYBOURN AV,WHITNALL HY E RDWY,WHITNALL HY W RDWY,286.9197479,2015/02/27 00:00:00+00,East Valley,Buffer Bike Lane,2020/04/08 00:00:00+00
3460, ,Buffer Bike Lane,CLYBOURN AV,BURBANK BL,CUMPSTON ST,9.80367173,2015/02/27 00:00:00+00,East Valley,Buffer Bike Lane,2020/04/08 00:00:00+00
3461, ,Buffer Bike Lane,CLYBOURN AV,CALIFA ST,WHITNALL HY E RDWY,112.656071,2015/02/27 00:00:00+00,East Valley,Buffer Bike Lane,2020/04/08 00:00:00+00
3480, ,Buffer Bike Lane,MONTEREY RD,COLEMAN AV,REDFIELD AV,33.59662275,2017/05/17 00:00:00+00,Central,Buffer Bike Lane,2020/04/08 00:00:00+00
3481, ,Buffer Bike Lane,MONTEREY RD,REDFIELD AV,KENDALL AV,340.0080886,2017/05/17 00:00:00+00,Central,Buffer Bike Lane,2020/04/08 00:00:00+00
3581, ,Buffer Bike Lane,WOODMAN AV,OSBORNE ST,MONTAGUE ST/PARTHENIA ST,1401.161628,2020/01/31 00:00:00+00,Valley,Buffer Bike Lane,2020/04/08 00:00:00+00
3649,Neighborhood,Buffer Bike Lane,RESEDA BL,CALLE VISTA CI/CHIMINEAS AV,BRASILIA DR,1284.957345,2019/12/27 00:00:00+00,Valley,Buffer Bike Lane,2020/04/08 00:00:00+00
3736, ,Buffer Bike Lane,CLYBOURN AV,CALIFA ST,WHITNALL HY E RDWY,647.6199413,2015/02/27 00:00:00+00,East Valley,Buffer Bike Lane,2020/04/08 00:00:00+00
