geoid,name,B19301001,"B19301001, Error"
14000US06037101110,"Census Tract 1011.10, Los Angeles, CA",29457,3651
14000US06037101122,"Census Tract 1011.22, Los Angeles, CA",45515,6571
14000US06037101210,"Census Tract 1012.10, Los Angeles, CA",21726,3829
14000US06037101220,"Census Tract 1012.20, Los Angeles, CA",23545,3092
14000US06037101300,"Census Tract 1013, Los Angeles, CA",37189,3899
14000US06037101400,"Census Tract 1014, Los Angeles, CA",36046,4848
14000US06037102103,"Census Tract 1021.03, Los Angeles, CA",38758,7797
14000US06037102104,"Census Tract 1021.04, Los Angeles, CA",37471,5747
14000US06037102105,"Census Tract 1021.05, Los Angeles, CA",25704,4420
14000US06037102107,"Census Tract 1021.07, Los Angeles, CA",38146,3665
14000US06037103101,"Census Tract 1031.01, Los Angeles, CA",40951,4034
14000US06037103102,"Census Tract 1031.02, Los Angeles, CA",32448,4450
14000US06037103200,"Census Tract 1032, Los Angeles, CA",35861,6326
14000US06037103300,"Census Tract 1033, Los Angeles, CA",49967,6271
14000US06037103400,"Census Tract 1034, Los Angeles, CA",40303,4904
14000US06037104103,"Census Tract 1041.03, Los Angeles, CA",26096,3193
14000US06037104105,"Census Tract 1041.05, Los Angeles, CA",23448,6574
14000US06037104108,"Census Tract 1041.08, Los Angeles, CA",18064,1878
14000US06037104124,"Census Tract 1041.24, Los Angeles, CA",31632,5106
14000US06037104201,"Census Tract 1042.01, Los Angeles, CA",17263,3393
14000US06037104203,"Census Tract 1042.03, Los Angeles, CA",15118,1962
14000US06037104204,"Census Tract 1042.04, Los Angeles, CA",18497,2564
14000US06037104310,"Census Tract 1043.10, Los Angeles, CA",20539,5265
14000US06037104320,"Census Tract 1043.20, Los Angeles, CA",20608,3067
14000US06037104401,"Census Tract 1044.01, Los Angeles, CA",17115,1662
14000US06037104403,"Census Tract 1044.03, Los Angeles, CA",17426,1967
14000US06037104404,"Census Tract 1044.04, Los Angeles, CA",16720,2536
14000US06037104500,"Census Tract 1045, Los Angeles, CA",15928,2164
14000US06037104610,"Census Tract 1046.10, Los Angeles, CA",16624,1911
14000US06037104620,"Census Tract 1046.20, Los Angeles, CA",17305,2342
14000US06037104701,"Census Tract 1047.01, Los Angeles, CA",10180,1026
14000US06037104703,"Census Tract 1047.03, Los Angeles, CA",16420,3058
14000US06037104704,"Census Tract 1047.04, Los Angeles, CA",18770,4731
14000US06037104810,"Census Tract 1048.10, Los Angeles, CA",18085,2267
14000US06037104821,"Census Tract 1048.21, Los Angeles, CA",20431,2642
14000US06037104822,"Census Tract 1048.22, Los Angeles, CA",16420,2023
14000US06037106010,"Census Tract 1060.10, Los Angeles, CA",36025,6057
14000US06037106020,"Census Tract 1060.20, Los Angeles, CA",26574,3720
14000US06037106111,"Census Tract 1061.11, Los Angeles, CA",35550,4113
14000US06037106112,"Census Tract 1061.12, Los Angeles, CA",27887,2887
14000US06037106113,"Census Tract 1061.13, Los Angeles, CA",30614,4588
14000US06037106114,"Census Tract 1061.14, Los Angeles, CA",18210,1821
14000US06037106403,"Census Tract 1064.03, Los Angeles, CA",19481,2582
14000US06037106405,"Census Tract 1064.05, Los Angeles, CA",17714,2877
14000US06037106406,"Census Tract 1064.06, Los Angeles, CA",31435,4818
14000US06037106407,"Census Tract 1064.07, Los Angeles, CA",14603,2042
14000US06037106408,"Census Tract 1064.08, Los Angeles, CA",18930,2649
14000US06037106510,"Census Tract 1065.10, Los Angeles, CA",28423,3442
14000US06037106520,"Census Tract 1065.20, Los Angeles, CA",20350,2273
14000US06037106603,"Census Tract 1066.03, Los Angeles, CA",44950,3739
14000US06037106604,"Census Tract 1066.04, Los Angeles, CA",20166,3054
14000US06037106641,"Census Tract 1066.41, Los Angeles, CA",53733,9194
14000US06037106642,"Census Tract 1066.42, Los Angeles, CA",52992,10203
14000US06037106643,"Census Tract 1066.43, Los Angeles, CA",62422,9257
14000US06037106645,"Census Tract 1066.45, Los Angeles, CA",44402,5447
14000US06037106646,"Census Tract 1066.46, Los Angeles, CA",39473,4715
14000US06037106648,"Census Tract 1066.48, Los Angeles, CA",18892,2061
14000US06037106649,"Census Tract 1066.49, Los Angeles, CA",28614,3444
14000US06037107010,"Census Tract 1070.10, Los Angeles, CA",18836,2407
14000US06037107020,"Census Tract 1070.20, Los Angeles, CA",24651,4204
14000US06037108101,"Census Tract 1081.01, Los Angeles, CA",48036,5210
14000US06037108102,"Census Tract 1081.02, Los Angeles, CA",42952,6400
14000US06037108103,"Census Tract 1081.03, Los Angeles, CA",59605,9488
14000US06037108104,"Census Tract 1081.04, Los Angeles, CA",55586,10250
14000US06037108201,"Census Tract 1082.01, Los Angeles, CA",55798,5060
14000US06037108202,"Census Tract 1082.02, Los Angeles, CA",55131,7768
14000US06037109100,"Census Tract 1091, Los Angeles, CA",29486,6226
14000US06037109200,"Census Tract 1092, Los Angeles, CA",45366,5476
14000US06037109300,"Census Tract 1093, Los Angeles, CA",35246,4476
14000US06037109400,"Census Tract 1094, Los Angeles, CA",26220,4033
14000US06037109500,"Census Tract 1095, Los Angeles, CA",12083,1649
14000US06037109601,"Census Tract 1096.01, Los Angeles, CA",27579,3124
14000US06037109603,"Census Tract 1096.03, Los Angeles, CA",23717,4880
14000US06037109604,"Census Tract 1096.04, Los Angeles, CA",27843,2738
14000US06037109700,"Census Tract 1097, Los Angeles, CA",33387,3149
14000US06037109800,"Census Tract 1098, Los Angeles, CA",29692,3736
14000US06037111100,"Census Tract 1111, Los Angeles, CA",30435,3373
14000US06037111201,"Census Tract 1112.01, Los Angeles, CA",40742,6804
14000US06037111202,"Census Tract 1112.02, Los Angeles, CA",33736,3804
14000US06037111204,"Census Tract 1112.04, Los Angeles, CA",60649,5933
14000US06037111205,"Census Tract 1112.05, Los Angeles, CA",36479,5643
14000US06037111206,"Census Tract 1112.06, Los Angeles, CA",57546,9169
14000US06037111301,"Census Tract 1113.01, Los Angeles, CA",27762,4653
14000US06037111302,"Census Tract 1113.02, Los Angeles, CA",34967,4023
14000US06037111400,"Census Tract 1114, Los Angeles, CA",27562,3487
14000US06037113101,"Census Tract 1131.01, Los Angeles, CA",36276,4180
14000US06037113102,"Census Tract 1131.02, Los Angeles, CA",68869,11146
