X,Y,FID,CASE_ID,ACCIDENT_YEAR,PROCDATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEATNUMB,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAIN_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,TIMECAT,MONTH_,CITY,COUNTY,STATE,POINT_X,POINT_Y,Match_addr,m_primaryrd,m_secondrd
-118.6016022,34.20674896,947,4045703,2009,9/3/2009 0:00,1942,1/1/2009,1500,38380,1034,4,5,7,1942,0,0,0,J,0,19T74,OWENSMOUTH AV,COHASSET ST,100,N,N,A,-,N,,0,0,,,0,,,,N,3,0,1,1,D,-,0,0,,N,E,I,A,A,H,-,A,D,0,,Y,,,Y,Y,-,-,0,1,0,0,0,0,1,0,0,-,-,0,0,1800,1,LOS ANGELES,LOS ANGELES,CA,-118.6016022,34.20674896,"OWENSMOUTH AVE & COHASSET ST, LOS ANGELES, CA, 91303",OWENSMOUTH AVE,COHASSET ST
-118.24768,34.05498886,222,4032970,2009,9/21/2009 0:00,1942,1/2/2009,1315,37611,9122,5,5,7,1942,0,0,0,,0,4TL4,1ST ST,OLIVE,0,,Y,B,-,N,,0,0,,,0,,,,N,4,0,1,2,A,-,3,22350,,N,H,G,A,A,H,-,A,A,0,,Y,,,Y,,L,4,0,0,1,0,0,0,1,0,0,-,-,0,0,1500,1,LOS ANGELES,LOS ANGELES,CA,-118.24768,34.05498886,"W 1ST ST & S OLIVE ST, LOS ANGELES, CA, 90012",W 1ST ST,S OLIVE ST
-118.5427623,34.1865654,936,4045622,2009,9/2/2009 0:00,1942,1/2/2009,515,36824,,5,5,7,1942,0,0,0,,0,1051,VICTORY,VALLEY CIR,3,E,-,A,-,N,,0,0,,,0,,,,N,3,0,1,2,D,-,0,0,,N,-,B,A,A,H,-,C,A,0,,Y,,,Y,,-,-,0,1,0,0,0,0,1,0,0,-,-,0,0,600,1,LOS ANGELES,LOS ANGELES,CA,-118.5427623,34.1865654,"VICTORY BLVD & ALLEY, LOS ANGELES, CA, 91335",VICTORY BLVD,ALLEY
-118.448752,34.17211533,1430,4080386,2009,8/29/2009 0:00,1942,1/2/2009,1525,34265,964,5,5,7,1942,0,0,0,I,0,9TL53,BURBANK BL,VAN NUYS BL,6,W,N,B,-,N,,0,0,,,0,,,,N,3,0,1,2,A,-,9,21804,A,N,D,G,A,A,H,-,A,D,0,,Y,,,Y,,L,4,0,1,0,0,0,0,1,0,0,-,-,0,0,1800,1,LOS ANGELES,LOS ANGELES,CA,-118.448752,34.17211533,"BURBANK BLVD & VAN NUYS BLVD, LOS ANGELES, CA, 91401",BURBANK BLVD,VAN NUYS BLVD
-118.5360553,34.1807251,1436,4080651,2009,9/2/2009 0:00,1942,1/2/2009,1130,37070,1048,5,5,7,1942,0,0,0,J,0,16TL24,TOPHAM ST,RESEDA BL,7,W,N,A,B,N,,0,0,,,0,,,,N,3,0,1,2,A,-,5,21650,1,F,B,G,A,A,H,-,A,A,0,,Y,,,Y,Y,L,4,0,1,0,0,0,0,1,0,0,-,-,0,0,1200,1,LOS ANGELES,LOS ANGELES,CA,-118.5360553,34.1807251,"TOPHAM ST & RESEDA BLVD, LOS ANGELES, CA, 91335",TOPHAM ST,RESEDA BLVD
-118.4456087,34.05905151,1465,4082448,2009,8/27/2009 0:00,1942,1/2/2009,910,30452,817,5,5,7,1942,0,0,0,H,0,8TL83,GAYLEY AV,LINDBROOK DR,107,S,N,B,-,N,,0,0,,,0,,,,N,4,0,1,2,A,-,9,21804,A,N,H,G,A,A,H,-,A,D,0,,Y,,,Y,,-,-,0,0,1,0,0,0,1,0,0,-,-,0,0,1200,1,LOS ANGELES,LOS ANGELES,CA,-118.4456087,34.05905151,"GAYLEY AVE & LINDBROOK DR, LOS ANGELES, CA, 90024",GAYLEY AVE,LINDBROOK DR
-118.2595823,34.04919052,506,4037201,2009,9/21/2009 0:00,1942,1/3/2009,1440,34423,162,6,5,7,1942,0,0,0,A,0,1TL24,7TH ST,FIGUEROA ST,120,E,N,A,-,N,,0,0,,,0,,,,N,4,0,1,2,A,-,17,22517,,N,-,G,A,A,H,-,A,D,0,,Y,,,Y,,A,1,0,0,1,0,0,0,1,0,0,-,-,0,0,1500,1,LOS ANGELES,LOS ANGELES,CA,-118.2595823,34.04919052,"W 7TH ST & S FIGUEROA ST, LOS ANGELES, CA, 90017",W 7TH ST,S FIGUEROA ST
-118.3003756,34.06355667,1493,4083207,2009,9/17/2009 0:00,1942,1/3/2009,2230,25495,729,6,5,7,1942,0,0,0,G,0,7TL23,6TH ST,NORMANDIE AV,2,E,N,A,-,N,,0,0,,,0,,,,N,4,0,1,2,A,-,12,21453,A,N,D,G,A,A,H,-,C,A,0,,Y,,,Y,,A,1,0,0,1,0,0,0,1,0,0,-,-,0,0,2400,1,LOS ANGELES,LOS ANGELES,CA,-118.3003756,34.06355667,"W 6TH ST & S NORMANDIE AVE, LOS ANGELES, CA, 90020",W 6TH ST,S NORMANDIE AVE
-118.25736,34.07675934,2426,4097722,2009,9/3/2009 0:00,1942,1/3/2009,142,37059,217,6,5,7,1942,0,0,0,B,0,4T43,SUNSET BL,ECHO PARK AV,0,,Y,A,-,N,,0,0,,,0,,,,N,4,0,2,2,A,-,12,21453,A,N,-,G,A,A,H,-,C,A,0,,Y,,,Y,,L,4,0,0,2,0,0,0,1,0,0,-,-,0,0,300,1,LOS ANGELES,LOS ANGELES,CA,-118.25736,34.07675934,"W SUNSET BLVD & ECHO PARK AVE, LOS ANGELES, CA, 90026",W SUNSET BLVD,ECHO PARK AVE
-118.2834626,34.04955673,484,4037137,2009,9/21/2009 0:00,1942,1/4/2009,1705,33260,281,7,5,7,1942,0,0,0,B,0,1T24,12TH ST,GRAND VIEW ST,156,E,N,A,-,N,,0,0,,,0,,,,N,4,0,1,2,A,-,9,21804,A,N,D,G,A,A,H,-,B,D,0,,Y,,,Y,,A,1,0,0,1,0,0,0,1,0,0,-,-,0,0,1800,1,LOS ANGELES,LOS ANGELES,CA,-118.2834626,34.04955673,"W 12TH ST & S GRAND VIEW ST, LOS ANGELES, CA, 90006",W 12TH ST,S GRAND VIEW ST
-118.3791318,34.17222595,1225,4060383,2009,9/1/2009 0:00,1942,1/4/2009,1500,31807,1599,7,5,7,1942,0,0,0,O,0,10TL34,BURBANK BL,LANKERSHIM BL,12,W,N,A,-,N,,0,0,,,0,,,,N,4,0,1,2,A,-,9,21804,A,N,D,G,A,A,H,-,A,D,0,,Y,,,Y,,L,4,0,0,1,0,0,0,1,0,0,-,-,0,0,1800,1,LOS ANGELES,LOS ANGELES,CA,-118.3791318,34.17222595,"BURBANK BLVD & LANKERSHIM BLVD, LOS ANGELES, CA, 91601",BURBANK BLVD,LANKERSHIM BLVD
