OBJECTID_1,STNAME,Shape_Leng,CPA_NUM,NAME_ALF
1,WILSHIRE,8.1427929641763e-06,3310,Brentwood - Pacific Palisades
2,CENTURY,1.00252721466815,1030,Southeast Los Angeles
3,CENTURY,0.517642032223202,1050,South Los Angeles
4,FIGUEROA,1.91188133844719,1010,Northeast Los Angeles
5,103RD,0.988907376954213,1030,Southeast Los Angeles
8,MARENGO,0.195330705071008,1020,Boyle Heights
9,ALAMEDA,0.248868391431793,1110,Central City North
11,ALAMEDA,1.38217530930682,1100,Central City
12,ALAMEDA,0.106430466035629,1100,Central City
13,JEFFERSON,1.62914103363327,1040,West Adams - Baldwin Hills - Leimert
14,JEFFERSON,2.24169411321853,1050,South Los Angeles
15,CENTRAL,0.313475272681389,1030,Southeast Los Angeles
16,AVENUE 26,0.280244109746668,1010,Northeast Los Angeles
17,LA BREA,0.412679547655811,1070,Hollywood
18,EAGLE ROCK,1.53821206357258,1010,Northeast Los Angeles
19,FLORENCE,0.753003285770888,1040,West Adams - Baldwin Hills - Leimert
20,FLORENCE,1.25780294878336,1030,Southeast Los Angeles
21,FLORENCE,2.26496720146285,1050,South Los Angeles
22,MANCHESTER,1.25445967283191,1030,Southeast Los Angeles
23,MANCHESTER,1.76572815100225,1050,South Los Angeles
24,OLYMPIC,0.989299290371294,1090,Westlake
25,OLYMPIC,2.25734760874438,1060,Wilshire
26,OLYMPIC,0.826823883051962,1100,Central City
27,SOTO,2.2007853762401,1020,Boyle Heights
28,RAMPART,1.46483925620768,1090,Westlake
29,WESTERN,1.42642176604697,1070,Hollywood
30,WESTERN,2.50317624094504,1060,Wilshire
31,WESTERN,7.01087595050728,1050,South Los Angeles
32,WESTWOOD,1.10241590084449,3260,Westwood
33,WESTWOOD,0.829350374059587,3270,West Los Angeles
34,FLETCHER,1.02366223438893,1010,Northeast Los Angeles
35,FLETCHER,0.373690537222515,1080,Silver Lake - Echo Park - Elysian Valley
36,SAN PEDRO,4.51853742709883,1030,Southeast Los Angeles
37,WILSHIRE,0.659432348517724,3310,Brentwood - Pacific Palisades
39,CESAR E CHAVEZ,1.3804895474069,1020,Boyle Heights
40,HIGHLAND,0.933201689939889,1070,Hollywood
41,ADAMS,0.957283601169524,1030,Southeast Los Angeles
42,ADAMS,0.970066785643164,1050,South Los Angeles
44,1ST,0.693319575006605,1100,Central City
45,LA BREA,0.594520218417801,1070,Hollywood
46,LA BREA,0.281356377090699,1060,Wilshire
50,FIGUEROA,7.46027757347915,1050,South Los Angeles
51,SANTA MONICA,3.9893018752127,1070,Hollywood
55,YUCCA,0.258440121803225,1070,Hollywood
56,VERNON,1.50538547490524,1030,Southeast Los Angeles
57,VERNON,1.64295808742508,1050,South Los Angeles
58,LEIMERT,0.657272903553745,1040,West Adams - Baldwin Hills - Leimert
59,SLAUSON,1.15341359663509,1040,West Adams - Baldwin Hills - Leimert
60,SLAUSON,1.505705264261,1030,Southeast Los Angeles
61,SLAUSON,2.0057404085781,1050,South Los Angeles
62,CAHUENGA,0.100623441955936,1070,Hollywood
63,VINE,1.49930925596541,1070,Hollywood
64,VINE,1.38942369206565e-06,1060,Wilshire
65,WASHINGTON,0.507150407078072,1030,Southeast Los Angeles
66,SAN PEDRO,0.57513278207989,1030,Southeast Los Angeles
67,SAN PEDRO,1.69525084836287,1100,Central City
68,6TH,1.57891195590296,1090,Westlake
69,6TH,1.55111585960056,1060,Wilshire
70,LA CIENEGA,0.66813500627625,1040,West Adams - Baldwin Hills - Leimert
71,LA CIENEGA,0.865781136242501,1060,Wilshire
72,FOUNTAIN,1.64221181744311,1070,Hollywood
75,FOUNTAIN,5.49245911356424e-06,1080,Silver Lake - Echo Park - Elysian Valley
76,FOUNTAIN,5.49245911356424e-06,1070,Hollywood
